CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
341722202,278046,9,2,1,2,1,14,1.55555555555556,2,0.496903994999953,1,2,1,2,1
341721602,277409,3,1,2,2,0,6,2,2,0,2,2,2,2,0
341690000,260810,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341640000,381060,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341160101,189043,3,1,1,1,0,3,1,1,0,1,1,1,1,0
341721201,258245,4,4,3,6,3,18,4.5,4.5,1.11803398874989,3,3,3.5,5.5,2
343370103,239250,8,2,1,2,1,15,1.875,2,0.330718913883074,1,2,2,2,0
341722902,249329,11,3,2,5,3,29,2.63636363636364,2,0.88139633771206,5,2,2,3,1
342020101,126257,5,2,1,2,1,6,1.2,1,0.4,2,1,1,1,0
341720301,245834,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341230101,176812,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341720109,220534,1,1,4,4,0,4,4,4,0,4,4,4,4,0
341200101,320361,7,3,1,3,2,11,1.57142857142857,1,0.728431359084683,3,1,1,2,1
342700102,209715,8,1,1,1,0,8,1,1,0,1,1,1,1,0
343070000,409181,1,1,1,1,0,1,1,1,0,1,1,1,1,0
343370103,232425,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341230101,178185,3,2,1,2,1,5,1.66666666666667,2,0.471404520791032,1,2,1.5,2,0.5
341720204,265706,6,1,1,1,0,6,1,1,0,1,1,1,1,0
342020103,137867,3,1,2,2,0,6,2,2,0,2,2,2,2,0
342590101,154244,9,2,1,2,1,17,1.88888888888889,2,0.314269680527354,1,2,2,2,0
340770102,273859,5,2,1,2,1,8,1.6,2,0.489897948556636,1,2,1,2,1
341720706,222624,1,1,4,4,0,4,4,4,0,4,4,4,4,0
341722802,247292,3,1,3,3,0,9,3,3,0,3,3,3,3,0
343270102,375765,5,2,1,2,1,6,1.2,1,0.4,2,1,1,1,0
342560000,446147,4,3,2,4,2,11,2.75,2.5,0.82915619758885,3,2,2,3.5,1.5
341290103,250812,6,1,2,2,0,12,2,2,0,2,2,2,2,0
341720102,252694,3,3,1,7,6,14,4.66666666666667,6,2.62466929133727,1,1,3.5,6.5,3
341720902,216507,10,2,1,2,1,19,1.9,2,0.3,1,2,2,2,0
340220101,387416,1,1,3,3,0,3,3,3,0,3,3,3,3,0
341721401,233642,2,1,1,1,0,2,1,1,0,1,1,1,1,0
341721001,223345,1,1,4,4,0,4,4,4,0,4,4,4,4,0
341720902,215836,12,1,2,2,0,24,2,2,0,2,2,2,2,0
341720105,238354,2,1,2,2,0,4,2,2,0,2,2,2,2,0
341720204,268443,2,1,5,5,0,10,5,5,0,5,5,5,5,0
341722202,276676,11,2,1,2,1,14,1.27272727272727,1,0.445361771415123,2,1,1,1.5,0.5
341720901,211726,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
341690000,232786,4,1,2,2,0,8,2,2,0,2,2,2,2,0
341721303,256908,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340570107,287558,2,1,1,1,0,2,1,1,0,1,1,1,1,0
341200101,312160,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
341720902,215139,14,2,1,2,1,25,1.78571428571429,2,0.410325903324145,1,2,2,2,0
340570101,291031,2,1,1,1,0,2,1,1,0,1,1,1,1,0
341721501,266458,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341721804,295854,1,1,4,4,0,4,4,4,0,4,4,4,4,0
341720109,225318,1,1,4,4,0,4,4,4,0,4,4,4,4,0
343270102,367562,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
