"","surface","dBestAD","dBestCVM","dBestKS","dBestAIC","CODE_IRIS"
"227",770,5.40469625614913e-06,5.40469625614913e-06,4.4362527966754e-06,4.4362527966754e-06,"340570105"
"228",790,4.44911854754841e-06,4.44911854754841e-06,3.62987186920349e-06,3.62987186920349e-06,"340570105"
"229",810,3.6624918241461e-06,3.6624918241461e-06,2.9700673948764e-06,2.9700673948764e-06,"340570105"
"230",830,3.01494469490558e-06,3.01494469490558e-06,2.4301960642053e-06,2.4301960642053e-06,"340570105"
"231",850,2.4818871822215e-06,2.4818871822215e-06,1.98845754162583e-06,1.98845754162583e-06,"340570105"
"232",870,2.04307694123998e-06,2.04307694123998e-06,1.62701415457259e-06,1.62701415457259e-06,"340570105"
"233",890,1.68185057633856e-06,1.68185057633856e-06,1.33127059731692e-06,1.33127059731692e-06,"340570105"
"234",910,1.38449086475109e-06,1.38449086475109e-06,1.08928456356677e-06,1.08928456356677e-06,"340570105"
"235",930,1.13970585826487e-06,1.13970585826487e-06,8.91284508811531e-07,8.91284508811531e-07,"340570105"
"236",950,9.38200082379597e-07,9.38200082379597e-07,7.29275069359521e-07,7.29275069359521e-07,"340570105"
"237",970,7.72321549629621e-07,7.72321549629621e-07,5.96714204646629e-07,5.96714204646629e-07,"340570105"
"238",990,6.35771182741127e-07,6.35771182741127e-07,4.88249025624547e-07,4.88249025624547e-07,"340570105"
"239",1010,5.23363613248775e-07,5.23363613248775e-07,3.9949964181679e-07,3.9949964181679e-07,"340570105"
"240",1030,4.30830272130066e-07,4.30830272130066e-07,3.26882298654032e-07,3.26882298654032e-07,"340570105"
"241",1050,3.54657295014196e-07,3.54657295014196e-07,2.67464663265822e-07,2.67464663265822e-07,"340570105"
"242",1070,2.91952086572073e-07,2.91952086572073e-07,2.18847415080171e-07,2.18847415080171e-07,"340570105"
"243",1090,2.40333476998902e-07,2.40333476998902e-07,1.79067359786786e-07,1.79067359786786e-07,"340570105"
"244",1110,1.97841299387743e-07,1.97841299387743e-07,1.46518154346323e-07,1.46518154346323e-07,"340570105"
"245",1130,1.62861954282005e-07,1.62861954282005e-07,1.19885441872903e-07,1.19885441872903e-07,"340570105"
"246",1150,1.34067134792571e-07,1.34067134792571e-07,9.80937770966533e-08,9.80937770966533e-08,"340570105"
"247",1170,1.10363385424974e-07,1.10363385424974e-07,8.02631992238816e-08,8.02631992238816e-08,"340570105"
"248",1190,9.08505791617489e-08,9.08505791617489e-08,6.56736985803383e-08,6.56736985803383e-08,"340570105"
"249",1210,7.47877360072126e-08,7.47877360072126e-08,5.37361421788159e-08,5.37361421788159e-08,"340570105"
"250",1230,6.15648849868803e-08,6.15648849868803e-08,4.39684841676697e-08,4.39684841676697e-08,"340570105"
"251",1250,5.0679901088091e-08,5.0679901088091e-08,3.59763005235747e-08,3.59763005235747e-08,"340570105"
"252",1270,4.17194375470049e-08,4.17194375470049e-08,2.94368619674696e-08,2.94368619674696e-08,"340570105"
"253",1290,3.43432294039625e-08,3.43432294039625e-08,2.40861019582609e-08,2.40861019582609e-08,"340570105"
"254",1310,2.82711722698637e-08,2.82711722698637e-08,1.97079535238793e-08,1.97079535238793e-08,"340570105"
"255",1330,2.32726856321815e-08,2.32726856321815e-08,1.61256243443815e-08,1.61256243443815e-08,"340570105"
"256",1350,1.91579567824181e-08,1.91579567824181e-08,1.31944577696022e-08,1.31944577696022e-08,"340570105"
"257",1370,1.57707328615944e-08,1.57707328615944e-08,1.07960914948682e-08,1.07960914948682e-08,"340570105"
"258",1390,1.29823873086522e-08,1.29823873086522e-08,8.83367801851541e-09,8.83367801851541e-09,"340570105"
"259",1410,1.06870353908725e-08,1.06870353908725e-08,7.22797388035245e-09,7.22797388035245e-09,"340570105"
"260",10,0.00878353262863232,0.00878353262863232,0.00907331406210296,0.00907331406210296,"340570101"
"261",30,0.007230559513235,0.007230559513235,0.00742405110438205,0.00742405110438205,"340570101"
"262",50,0.00595215992071447,0.00595215992071447,0.00607457588519775,0.00607457588519775,"340570101"
